Timestamp,Stopień naukowy do umieszczenia na certyfikacie uczestnictwa w konferencji (o ile dotyczy),Chcesz podzielić się odpowiedzią na to pytanie? Chętnie przedstawimy najciekawsze odpowiedzi,Czy chcesz uczestniczyć w konferencji?,W którym warsztacie porannym chciałabyś/chciałbyś uczestniczyć 27.09?,W którym warsztacie popołudniowym chciałabyś/chciałbyś uczestniczyć 27.09?,Obecne stanowisko,"Tematyka, którą się zajmujesz","Tematyka, którą się interesujesz","Proszę wpisz (po przecinku) najważniejsze technologie, z którymi pracujesz na co dzień","Proszę wpisz (po przecinku) pakiety do R, z którymi pracujesz na co dzień",Doświadczenie związane z analizą i przetwarzaniem danych - wpisz liczbę oznaczającą lata,Doświadczenie związane z pakietem statystycznym R - wpisz liczbę oznaczającą lata,Płeć,Kraj,Miasto,czy_ostatecznie_bedzie_na_konferencji,wiek
3/4/2017 16:27:59,NA,Because not Python.,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,Web scraping w R i nie tylko,Analityk danych,"statystyczne uczenie maszynowe i modele predykcyjne, obliczenia wysokowydajnościowe, analiza tekstu, tworzenie narzędzi w R","wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, rozwój oprogramowania, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, obliczenia wysokowydajnościowe, analiza tekstu, analiza i przetwarzanie obrazu, analiza szeregów czasowych",NA,"data.table, parallel, dplyr, h2o, xgboost, stringi, RSQLite",3,3,Mężczyzna,Polska,Warszawa,TRUE,NA
3/4/2017 16:31:51,mgr,Because what else could be better?,Tak,Żadnym,Kombajn do uczenia maszynowego - MLR w praktyce,Data Scientist,"metodologia statystyczna, wizualizacja danych, Big Data i hurtownie danych, statystyczne uczenie maszynowe i modele predykcyjne, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, społeczność R w Polsce, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu, analiza i przetwarzanie obrazu, aplikacje shiny i htmlwidgets","R, h2o, hadoop, hive","shiny, h2o, dplyr, ggplot2, tidyr, glmnet",4,5,Mężczyzna,Polska,Gdańsk,TRUE,NA
3/4/2017 16:33:35,NA,Because not SAS/Python,Tak,Machine Learning w R przy użyciu H2O,Żadnym,Student,"badania kliniczne, wizualizacja danych, R w badaniach społecznych, biostatystyka i epidemiologia, analiza tekstu","badania kliniczne, wizualizacja danych, obliczenia wysokowydajnościowe, biostatystyka i epidemiologia, analiza tekstu, analiza i przetwarzanie obrazu","R, SQL, XSL/XML","dplyr, ggplot2, survival, cmprsk, mstate, xsls, stringi, ...",1.5,2,Kobieta,Polska,Warszawa,TRUE,25
3/4/2017 16:42:39,NA,NA,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,mirt: skalowanie odpowiedzi lepsze niż PCA,NA,"statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu","Big Data i hurtownie danych, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza i przetwarzanie obrazu",Spark,"data.table, xgboost, stringi",1,2,Mężczyzna,Polska,Warszawa,TRUE,NA
3/4/2017 17:55:24,dr,Bo ggplot2 i kilka innych pakietów,Tak,Analiza danych sondażowych w R,Żadnym,senior data scientist,"wizualizacja danych, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map, analiza tekstu, analiza i przetwarzanie obrazu","wizualizacja danych, statystyczne uczenie maszynowe i modele predykcyjne, tworzenie i wizualizacja map, analiza tekstu, analiza i przetwarzanie obrazu","Python,scikit-learn,Jupyter Notebook,AWS,Keras","ggplot2,dplyr",4,2,Mężczyzna,Polska,Warszawa,TRUE,NA
3/4/2017 18:52:03,NA,NA,Tak,Żadnym,Kombajn do uczenia maszynowego - MLR w praktyce,Samodzielny specjalista (analityk + IT),"wizualizacja danych, rozwój oprogramowania, R w biznesie, społeczność R w Polsce, statystyczne uczenie maszynowe i modele predykcyjne, analiza tekstu, tworzenie raportów i dashboardów","wizualizacja danych, rozwój oprogramowania, R w biznesie, społeczność R w Polsce, edukacja R i R w edukacji, statystyczne uczenie maszynowe i modele predykcyjne, analiza tekstu, obliczenia w chmurze, tworzenie raportów i dashboardów","VBA, R, Docker, Python, Bash","MAGRITTR, stringi, dplyr, tidyr, rvest, RPostgres",5,7,Mężczyzna,Polska,Kraków,TRUE,31
3/4/2017 21:28:46,NA,NA,Tak,Interaktywne wizualizacje w R i plotly - case study,mirt: skalowanie odpowiedzi lepsze niż PCA,NA,"metodologia statystyczna, wizualizacja danych, Big Data i hurtownie danych, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, statystyka przestrzenna, tworzenie i wizualizacja map, analiza tekstu, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, rozwój oprogramowania, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, statystyka przestrzenna, tworzenie i wizualizacja map, analiza tekstu, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","Hadoop, HIVE,Spark, Python, R, JavaScript, Java,",NA,3,3,Kobieta,Polska,Warszawa,TRUE,NA
3/4/2017 22:16:22,mgr,NA,Tak,Wróżenie z punktów - ordynacja w eksploracji danych,Żadnym,doktorant,"statystyczne uczenie maszynowe i modele predykcyjne, analiza tekstu","metodologia statystyczna, statystyczne uczenie maszynowe i modele predykcyjne, klastrowanie i segmentacja, analiza tekstu","Python, Theano",NA,3,3,Mężczyzna,Polska,Warszawa,TRUE,26
3/5/2017 11:03:46,NA,NA,Tak,Kiedy brakuje wydajności... R i C++ = Rcpp,Żadnym,Informatyk - specjalista ds. baz danych,"metodologia statystyczna, wizualizacja danych, rozwój oprogramowania, społeczność R w Polsce, edukacja R i R w edukacji, odtwarzalne obliczenia, R w badaniach społecznych, tworzenie raportów i dashboardów, skalowanie i SEM","metodologia statystyczna, wizualizacja danych, rozwój oprogramowania, społeczność R w Polsce, edukacja R i R w edukacji, odtwarzalne obliczenia, R w badaniach społecznych, tworzenie raportów i dashboardów, skalowanie i SEM","R, SQL, Mplus, HTML, Java Script","dplyr, haven, tidyr, purr, ggplot2, rmarkdown, knitr, lme4, car, effects, sandwich, survey, mirt",12,11,Mężczyzna,Polska,Warszawa,TRUE,NA
3/5/2017 12:29:11,dr inż.,"W zwięzły sposób pozwala rozwiązywać większość zadań, które na swojej drodze spotyka współczesny badacz danych.",Tak,Wróżenie z punktów - ordynacja w eksploracji danych,Żadnym,Adiunkt/Senior data scientist,"wizualizacja danych, Big Data i hurtownie danych, rozwój oprogramowania, R w biznesie, statystyczne uczenie maszynowe i modele predykcyjne, obliczenia wysokowydajnościowe, obliczenia w chmurze, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, Big Data i hurtownie danych, rozwój oprogramowania, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, obliczenia wysokowydajnościowe, analiza tekstu, analiza szeregów czasowych","R, Vertica, python, scala, Apache Spark","tidyverse, lubridate, tidyr, lubridate, knitr, shiny",9,6,Mężczyzna,Polska,Warszawa,TRUE,NA
3/5/2017 13:04:49,mgr,NA,Tak,Żadnym,Web scraping w R i nie tylko,NA,"metodologia statystyczna, wizualizacja danych, integracja R z innymi językami/środowiskami, rozwój oprogramowania, społeczność R w Polsce, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, obliczenia wysokowydajnościowe, statystyka przestrzenna, tworzenie i wizualizacja map, R w badaniach społecznych, analiza tekstu, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","metodologia statystyczna, badania kliniczne, wizualizacja danych, integracja R z innymi językami/środowiskami, bioinformatyka, Big Data i hurtownie danych, rozwój oprogramowania, R w biznesie, społeczność R w Polsce, edukacja R i R w edukacji, odtwarzalne obliczenia, statystyczne uczenie maszynowe i modele predykcyjne, ekonomia, finanse i ubezpieczenia, klastrowanie i segmentacja, obliczenia wysokowydajnościowe, statystyka przestrzenna, tworzenie i wizualizacja map, R w badaniach społecznych, biostatystyka i epidemiologia, analiza tekstu, obliczenia w chmurze, analiza i przetwarzanie obrazu, analiza szeregów czasowych, aplikacje shiny i htmlwidgets, tworzenie raportów i dashboardów","TeraData, SAS, R, HTML, CSS, Python.","Mateusz, igraph, xgboost, h2o, dplyr, shiny, plotly, gbm, glm, nnet",6,6,Mężczyzna,Polska,Warszawa,TRUE,NA
